date;JBSS3;BBAS3;PRIO3;TAEE11;SMTO3;TOTS3;GGBR3;USIM3;EGIE3;MRFG3;HYPE3;AZZA3;ITUB3;BEEF3;PFRM3;IBOVESPA;SELIC;;;;;;;;;;;;;;
2013-08-30;0,155;0,054;-0,118;-0,036;0,118;0,041;0,148;0,149;-0,030;-0,154;-0,014;-0,067;-0,012;0,167;0,000;0,037;0,71%;;;;;;;;;;;;;;
2013-09-30;0,053;0,136;-0,221;-0,032;0,070;0,004;-0,042;0,047;0,073;-0,008;0,098;0,180;0,073;-0,049;-0,137;0,047;0,71%;;;;;;;;;;;;;;
2013-10-31;0,036;0,151;-0,431;0,021;0,090;0,013;0,084;0,098;0,040;-0,251;0,097;-0,145;0,084;-0,067;0,003;0,037;0,81%;;;;;;;;;;;;;;
2013-11-29;0,046;-0,133;0,121;-0,001;-0,035;-0,030;0,018;-0,016;0,014;-0,046;-0,029;-0,134;-0,062;0,104;0,073;-0,033;0,72%;;;;;;;;;;;;;;
2013-12-30;0,044;-0,039;0,230;-0,137;-0,059;0,006;0,006;0,088;-0,060;-0,074;-0,073;0,030;-0,031;0,106;-0,022;-0,019;0,79%;;;;;;;;;;;;;;
2014-01-31;-0,036;-0,144;0,275;-0,026;-0,138;-0,142;-0,060;-0,091;-0,040;0,040;-0,136;-0,126;-0,063;-0,045;-0,168;-0,075;0,85%;;;;;;;;;;;;;;
2014-02-28;-0,112;-0,003;-0,078;0,018;0,207;0,020;-0,175;-0,177;-0,038;-0,014;-0,047;0,063;0,075;-0,039;0,155;-0,011;0,79%;;;;;;;;;;;;;;
2014-03-31;0,035;0,119;-0,131;0,067;0,039;0,126;0,018;-0,008;0,057;0,071;0,129;-0,005;0,098;-0,043;-0,023;0,071;0,77%;;;;;;;;;;;;;;
2014-04-30;-0,006;0,026;-0,312;0,036;0,077;0,024;-0,087;-0,130;-0,055;-0,052;0,002;-0,084;0,077;-0,008;0,017;0,024;0,82%;;;;;;;;;;;;;;
2014-05-30;-0,017;-0,018;0,266;0,035;0,141;0,072;0,015;-0,110;0,005;0,274;0,101;0,142;-0,059;-0,022;0,217;-0,007;0,87%;;;;;;;;;;;;;;
2014-06-30;0,013;0,099;0,469;0,026;0,050;-0,027;-0,050;-0,029;-0,010;0,125;0,063;0,112;0,031;0,132;0,000;0,038;0,82%;;;;;;;;;;;;;;
2014-07-31;0,099;0,115;0,118;0,027;-0,059;0,031;0,041;0,062;0,030;0,111;-0,060;-0,090;0,097;0,041;-0,344;0,050;0,95%;;;;;;;;;;;;;;
2014-08-29;0,211;0,273;0,046;0,142;0,218;0,060;-0,005;0,020;0,119;0,147;0,077;0,123;0,132;0,153;-0,004;0,098;0,87%;;;;;;;;;;;;;;
2014-09-30;-0,095;-0,274;-0,213;-0,162;-0,134;-0,101;-0,059;-0,115;-0,078;-0,123;-0,098;-0,091;-0,155;-0,035;-0,200;-0,117;0,91%;;;;;;;;;;;;;;
2014-10-31;0,208;0,096;-0,114;-0,060;-0,008;-0,030;-0,086;-0,006;-0,019;-0,092;-0,015;-0,017;0,041;-0,008;-0,031;0,009;0,95%;;;;;;;;;;;;;;
2014-11-28;0,078;0,073;-0,216;0,068;0,026;-0,017;-0,003;0,023;0,048;0,078;0,010;0,003;0,047;-0,106;-0,109;0,001;0,84%;;;;;;;;;;;;;;
2014-12-30;-0,064;-0,189;-0,392;-0,011;-0,094;-0,012;-0,116;0,822;-0,017;-0,063;-0,034;-0,059;-0,055;-0,142;-0,073;-0,085;0,96%;;;;;;;;;;;;;;
2015-01-30;0,017;-0,131;-0,156;0,032;-0,060;-0,040;-0,083;0,383;-0,080;-0,187;0,078;-0,131;-0,067;-0,105;-0,224;-0,062;0,94%;;;;;;;;;;;;;;
2015-02-27;0,093;0,152;0,379;0,071;0,116;0,034;0,136;-0,136;0,073;-0,026;0,048;0,084;0,117;0,027;-0,169;0,100;0,82%;;;;;;;;;;;;;;
2015-03-31;0,144;-0,019;-0,162;0,010;0,018;0,085;-0,054;0,463;0,057;-0,171;0,032;-0,033;-0,016;-0,177;-0,033;-0,008;1,04%;;;;;;;;;;;;;;
2015-04-30;0,092;0,162;0,031;-0,016;-0,010;-0,054;-0,006;-0,218;0,011;0,055;0,013;0,018;0,079;0,169;0,424;0,099;0,95%;;;;;;;;;;;;;;
2015-05-29;0,021;-0,130;-0,015;0,032;-0,070;0,069;-0,068;-0,053;-0,045;-0,040;0,089;-0,002;-0,064;0,184;-0,039;-0,062;0,99%;;;;;;;;;;;;;;
2015-06-30;0,045;0,081;-0,105;-0,004;0,052;0,049;-0,150;-0,166;0,010;0,404;0,045;-0,016;0,024;0,112;0,094;0,006;1,07%;;;;;;;;;;;;;;
2015-07-31;-0,058;-0,092;-0,163;0,032;-0,099;-0,083;-0,178;-0,271;0,060;-0,070;-0,107;-0,108;-0,056;-0,016;0,185;-0,042;1,18%;;;;;;;;;;;;;;
2015-08-31;-0,082;-0,185;-0,190;-0,128;-0,083;-0,109;-0,104;-0,002;-0,062;0,206;-0,187;0,027;-0,107;0,031;-0,219;-0,083;1,11%;;;;;;;;;;;;;;
2015-09-30;0,187;-0,133;-0,371;0,081;0,288;-0,049;-0,009;-0,144;0,007;0,122;-0,072;-0,090;-0,022;0,154;-0,086;-0,034;1,11%;;;;;;;;;;;;;;
2015-10-30;-0,152;0,051;0,206;0,044;0,133;0,134;-0,072;-0,042;0,003;-0,112;0,145;0,055;0,012;-0,043;-0,158;0,018;1,11%;;;;;;;;;;;;;;
2015-11-30;-0,128;0,030;-0,047;-0,115;0,081;-0,020;0,022;-0,176;0,001;-0,077;0,280;0,048;0,022;-0,105;-0,059;-0,016;1,06%;;;;;;;;;;;;;;
2015-12-30;-0,006;-0,081;0,219;-0,031;-0,047;-0,067;-0,161;-0,383;0,001;0,080;-0,031;-0,037;-0,022;0,165;-0,101;-0,039;1,16%;;;;;;;;;;;;;;
2016-01-29;-0,126;-0,060;-0,404;0,038;0,044;0,044;-0,253;-0,206;0,010;-0,039;0,029;-0,095;-0,079;-0,077;-0,204;-0,068;1,06%;;;;;;;;;;;;;;
2016-02-29;0,056;-0,022;0,267;0,085;0,020;-0,028;0,062;0,085;0,043;0,025;0,128;-0,063;0,034;-0,038;0,439;0,059;1,00%;;;;;;;;;;;;;;
2016-03-31;-0,045;0,475;0,951;0,065;0,007;-0,135;0,750;0,182;0,039;0,053;0,120;0,311;0,177;-0,052;0,130;0,170;1,16%;;;;;;;;;;;;;;
2016-04-29;-0,170;0,118;0,053;0,020;-0,089;0,050;0,172;0,100;0,040;-0,014;0,076;0,039;0,070;-0,056;0,097;0,077;1,06%;;;;;;;;;;;;;;
2016-05-31;0,158;-0,249;-0,155;-0,003;0,203;0,050;-0,306;0,089;-0,062;-0,031;-0,054;0,026;-0,108;-0,104;0,221;-0,101;1,11%;;;;;;;;;;;;;;
2016-06-30;0,000;0,052;-0,146;0,019;-0,008;0,031;0,092;0,037;0,080;-0,107;-0,181;0,096;0,022;-0,033;0,107;0,063;1,16%;;;;;;;;;;;;;;
2016-07-29;0,090;0,225;0,089;0,349;-0,005;0,077;0,289;0,654;0,102;0,011;0,187;0,046;0,128;0,048;0,130;0,112;1,11%;;;;;;;;;;;;;;
2016-08-31;0,147;0,110;-0,028;-0,082;-0,045;-0,080;0,171;-0,137;-0,054;-0,100;-0,049;-0,071;0,061;-0,017;-0,033;0,010;1,22%;;;;;;;;;;;;;;
